Year,seriesdescription,geoarea,sex,age,urbanisation,unit,scale,Value
2019,VC_PRR_ROBB,716,F,_T,_T,Percent,1,40.5
2019,VC_PRR_ROBB,716,M,_T,_T,Percent,1,38.2
