Year,indicador-disponível,objectivo,meta,indicador,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,scale,Value
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,F,_T,_T,_T,_T,_T,_T,_T,Percent,1,50.5
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,M,_T,_T,_T,_T,_T,_T,_T,Percent,1,49.9
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,53.3
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,_T,_T,_T,ISCO88_1,_T,_T,_T,Percent,1,4.4
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,_T,_T,_T,TU,_T,_T,_T,Percent,1,7.2
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,_T,_T,_T,TNU,_T,_T,_T,Percent,1,8.5
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,_T,_T,_T,ISCO68_2,_T,_T,_T,Percent,1,4.1
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,_T,_T,_T,ONA,_T,_T,_T,Percent,1,27.8
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,_T,_T,_T,ISCO08_7,_T,_T,_T,Percent,1,17.6
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,_T,_T,_T,PC,_T,_T,_T,Percent,1,28.9
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,_T,_T,_T,PS,_T,_T,_T,Percent,1,19.2
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,_T,_T,_T,ED,_T,_T,_T,Percent,1,18.5
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,_T,_T,_T,C,_T,_T,_T,Percent,1,72.0
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,_T,_T,_T,ISCO68_6,_T,_T,_T,Percent,1,63.4
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,_T,_T,_T,OO,_T,_T,_T,Percent,1,28.7
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,_T,U,_T,_T,_T,_T,_T,Percent,1,17.3
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,_T,R,_T,_T,_T,_T,_T,Percent,1,70.3
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,Y0T4,_T,_T,_T,_T,_T,_T,Percent,1,60.4
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,Y5T9,_T,_T,_T,_T,_T,_T,Percent,1,59.3
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,Y10T14,_T,_T,_T,_T,_T,_T,Percent,1,53.0
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,Y15T19,_T,_T,_T,_T,_T,_T,Percent,1,42.8
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,Y20T24,_T,_T,_T,_T,_T,_T,Percent,1,43.4
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,Y25T29,_T,_T,_T,_T,_T,_T,Percent,1,48.2
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,Y30T34,_T,_T,_T,_T,_T,_T,Percent,1,50.6
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,Y35T39,_T,_T,_T,_T,_T,_T,Percent,1,53.3
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,Y40T44,_T,_T,_T,_T,_T,_T,Percent,1,54.8
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,Y45T49,_T,_T,_T,_T,_T,_T,Percent,1,51.0
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,Y50T54,_T,_T,_T,_T,_T,_T,Percent,1,52.5
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,Y55T59,_T,_T,_T,_T,_T,_T,Percent,1,52.1
2015,G,1,1.2,1.2.2,SD_MDP_MUHC,508,_T,Y_GE60,_T,_T,_T,_T,_T,_T,Percent,1,56.1
