Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"EDC,MOME_Annual Report",ប្រចាំឆ្នាំ,ជាតិ,៧.២.១ ថាមពលកកើតឡើងវិញ,ប្រទេសកម្ពុជា,ភាគរយ,2020,33.84
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"EDC,MOME_Annual Report",ប្រចាំឆ្នាំ,ជាតិ,៧.២.១ ថាមពលកកើតឡើងវិញ,ប្រទេសកម្ពុជា,ភាគរយ,2020,37.1
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"EDC,MOME_Annual Report",ប្រចាំឆ្នាំ,ជាតិ,៧.២.១ ថាមពលកកើតឡើងវិញ,ប្រទេសកម្ពុជា,ភាគរយ,2020,34.28
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"EDC,MOME_Annual Report",ប្រចាំឆ្នាំ,ជាតិ,៧.២.១ ថាមពលកកើតឡើងវិញ,ប្រទេសកម្ពុជា,ភាគរយ,2020,49.46
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"EDC,MOME_Annual Report",ប្រចាំឆ្នាំ,ជាតិ,៧.២.១ ថាមពលកកើតឡើងវិញ,ប្រទេសកម្ពុជា,ភាគរយ,2020,34.84
2020,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"EDC,MOME_Annual Report",ប្រចាំឆ្នាំ,ជាតិ,៧.២.១ ថាមពលកកើតឡើងវិញ,ប្រទេសកម្ពុជា,ភាគរយ,2020,33.0
