Year,TIME_DETAIL,SERIES,Value
2010,2010,GR_G14_GDP,36.8
2011,2011,GR_G14_GDP,30.0
2012,2012,GR_G14_GDP,26.2
2013,2013,GR_G14_GDP,29.2
2014,2014,GR_G14_GDP,31.7
2015,2015,GR_G14_GDP,29.4
2016,2016,GR_G14_GDP,32.0
2017,2017,GR_G14_GDP,30.0
2018,2018,GR_G14_GDP,27.7
2019,2019,GR_G14_GDP,23.7
