Year,AREA,TIME_DETAIL,Value
2000,West Bank,2000,28.7
2001,West Bank,2001,30.8
2002,West Bank,2002,35.4
2003,West Bank,2003,25.4
2004,West Bank,2004,26.8
2005,West Bank,2005,29.9
2006,West Bank,2006,23.4
2007,West Bank,2007,21.2
2008,West Bank,2008,19.7
2009,West Bank,2009,23.6
2010,West Bank,2010,22.8
2012,West Bank,2012,17.1
2013,West Bank,2013,16.7
2014,West Bank,2014,17.4
2015,West Bank,2015,20.1
2016,West Bank,2016,19.6
2017,West Bank,2017,14.6
2018,West Bank,2018,15.9
2019,West Bank,2019,21.8
2000,Gaza Strip,2000,24.2
2001,Gaza Strip,2001,33.1
2002,Gaza Strip,2002,43.1
2003,Gaza Strip,2003,28.5
2004,Gaza Strip,2004,32.4
2005,Gaza Strip,2005,35.9
2006,Gaza Strip,2006,23.0
2007,Gaza Strip,2007,50.3
2008,Gaza Strip,2008,46.7
2009,Gaza Strip,2009,57.1
2010,Gaza Strip,2010,27.0
2012,Gaza Strip,2012,28.9
2013,Gaza Strip,2013,37.0
2014,Gaza Strip,2014,22.5
2015,Gaza Strip,2015,24.4
2016,Gaza Strip,2016,24.0
2017,Gaza Strip,2017,25.5
2018,Gaza Strip,2018,29.6
2019,Gaza Strip,2019,34.1
2000,Palestine,2000,27.6
2001,Palestine,2001,31.5
2002,Palestine,2002,37.2
2003,Palestine,2003,26.2
2004,Palestine,2004,28.0
2005,Palestine,2005,31.1
2006,Palestine,2006,23.3
2007,Palestine,2007,23.0
2008,Palestine,2008,21.0
2009,Palestine,2009,25.5
2010,Palestine,2010,23.4
2012,Palestine,2012,18.9
2013,Palestine,2013,19.4
2014,Palestine,2014,18.2
2015,Palestine,2015,21.0
2016,Palestine,2016,20.3
2017,Palestine,2017,16.1
2018,Palestine,2018,17.6
2019,Palestine,2019,22.6
