Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2014,West Bank,N,2014,VC_VAW_MTUHRA,NUMBER,0
2015,West Bank,N,2015,VC_VAW_MTUHRA,NUMBER,1
2016,West Bank,N,2016,VC_VAW_MTUHRA,NUMBER,1
2017,West Bank,N,2017,VC_VAW_MTUHRA,NUMBER,0
2018,West Bank,N,2018,VC_VAW_MTUHRA,NUMBER,0
2019,West Bank,N,2019,VC_VAW_MTUHRA,NUMBER,0
2014,Gaza Strip,N,2014,VC_VAW_MTUHRA,NUMBER,17
2015,Gaza Strip,N,2015,VC_VAW_MTUHRA,NUMBER,0
2016,Gaza Strip,N,2016,VC_VAW_MTUHRA,NUMBER,0
2017,Gaza Strip,N,2017,VC_VAW_MTUHRA,NUMBER,0
2018,Gaza Strip,N,2018,VC_VAW_MTUHRA,NUMBER,2
2019,Gaza Strip,N,2019,VC_VAW_MTUHRA,NUMBER,0
2014,PS,N,2014,VC_VAW_MTUHRA,NUMBER,17
2015,PS,N,2015,VC_VAW_MTUHRA,NUMBER,1
2016,PS,N,2016,VC_VAW_MTUHRA,NUMBER,1
2017,PS,N,2017,VC_VAW_MTUHRA,NUMBER,0
2018,PS,N,2018,VC_VAW_MTUHRA,NUMBER,2
2019,PS,N,2019,VC_VAW_MTUHRA,NUMBER,0
