Year,seriesdescription,geoarea,sex,age,urbanisation,unit,scale,Value
2014,ER_CBD_ABSCLRHS,716,_T,_T,_T,,1,1.0
2015,ER_CBD_ABSCLRHS,716,_T,_T,_T,,1,1.0
2016,ER_CBD_ABSCLRHS,716,_T,_T,_T,,1,1.0
2017,ER_CBD_ABSCLRHS,716,_T,_T,_T,,1,1.0
2018,ER_CBD_ABSCLRHS,716,_T,_T,_T,,1,1.0
