Year,SEX,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,M,West Bank,2000,SH_STA_STNT,,
2001,M,West Bank,2001,SH_STA_STNT,,
2002,M,West Bank,2002,SH_STA_STNT,,
2006,M,West Bank,2006,SH_STA_STNT,,
2007,M,West Bank,2007,SH_STA_STNT,,
2008,M,West Bank,2008,SH_STA_STNT,,
2014,M,West Bank,2014,SH_STA_STNT,,
2015,M,West Bank,2015,SH_STA_STNT,,
2016,M,West Bank,2016,SH_STA_STNT,,
2019,M,West Bank,2019,SH_STA_STNT,,
2000,M,Gaza Strip,2000,SH_STA_STNT,,
2001,M,Gaza Strip,2001,SH_STA_STNT,,
2002,M,Gaza Strip,2002,SH_STA_STNT,,
2006,M,Gaza Strip,2006,SH_STA_STNT,,
2007,M,Gaza Strip,2007,SH_STA_STNT,,
2008,M,Gaza Strip,2008,SH_STA_STNT,,
2014,M,Gaza Strip,2014,SH_STA_STNT,,
2015,M,Gaza Strip,2015,SH_STA_STNT,,
2016,M,Gaza Strip,2016,SH_STA_STNT,,
2019,M,Gaza Strip,2019,SH_STA_STNT,,
2000,M,PS,2000,SH_STA_STNT,,7.0
2001,M,PS,2001,SH_STA_STNT,,10.4
2002,M,PS,2002,SH_STA_STNT,,8.1
2006,M,PS,2006,SH_STA_STNT,,10.4
2007,M,PS,2007,SH_STA_STNT,,10.4
2008,M,PS,2008,SH_STA_STNT,,8.1
2014,M,PS,2014,SH_STA_STNT,,8.1
2015,M,PS,2015,SH_STA_STNT,,10.4
2016,M,PS,2016,SH_STA_STNT,,8.1
2019,M,PS,2019,SH_STA_STNT,,8.6
2000,F,West Bank,2000,SH_STA_STNT,,
2001,F,West Bank,2001,SH_STA_STNT,,
2002,F,West Bank,2002,SH_STA_STNT,,
2006,F,West Bank,2006,SH_STA_STNT,,
2007,F,West Bank,2007,SH_STA_STNT,,
2008,F,West Bank,2008,SH_STA_STNT,,
2014,F,West Bank,2014,SH_STA_STNT,,
2015,F,West Bank,2015,SH_STA_STNT,,
2016,F,West Bank,2016,SH_STA_STNT,,
2019,F,West Bank,2019,SH_STA_STNT,,
2000,F,Gaza Strip,2000,SH_STA_STNT,,
2001,F,Gaza Strip,2001,SH_STA_STNT,,
2002,F,Gaza Strip,2002,SH_STA_STNT,,
2006,F,Gaza Strip,2006,SH_STA_STNT,,
2007,F,Gaza Strip,2007,SH_STA_STNT,,
2008,F,Gaza Strip,2008,SH_STA_STNT,,
2014,F,Gaza Strip,2014,SH_STA_STNT,,
2015,F,Gaza Strip,2015,SH_STA_STNT,,
2016,F,Gaza Strip,2016,SH_STA_STNT,,
2019,F,Gaza Strip,2019,SH_STA_STNT,,
2000,F,PS,2000,SH_STA_STNT,,8.1
2001,F,PS,2001,SH_STA_STNT,,
2002,F,PS,2002,SH_STA_STNT,,
2006,F,PS,2006,SH_STA_STNT,,10.0
2007,F,PS,2007,SH_STA_STNT,,
2008,F,PS,2008,SH_STA_STNT,,
2014,F,PS,2014,SH_STA_STNT,,6.6
2015,F,PS,2015,SH_STA_STNT,,
2016,F,PS,2016,SH_STA_STNT,,
2019,F,PS,2019,SH_STA_STNT,,8.8
2000,_T,West Bank,2000,SH_STA_STNT,,7.0
2001,_T,West Bank,2001,SH_STA_STNT,,7.9
2002,_T,West Bank,2002,SH_STA_STNT,,7.7
2006,_T,West Bank,2006,SH_STA_STNT,,7.9
2007,_T,West Bank,2007,SH_STA_STNT,,7.9
2008,_T,West Bank,2008,SH_STA_STNT,,7.7
2014,_T,West Bank,2014,SH_STA_STNT,,7.7
2015,_T,West Bank,2015,SH_STA_STNT,,7.9
2016,_T,West Bank,2016,SH_STA_STNT,,7.7
2019,_T,West Bank,2019,SH_STA_STNT,,8.5
2000,_T,Gaza Strip,2000,SH_STA_STNT,,8.3
2001,_T,Gaza Strip,2001,SH_STA_STNT,,
2002,_T,Gaza Strip,2002,SH_STA_STNT,,
2006,_T,Gaza Strip,2006,SH_STA_STNT,,13.2
2007,_T,Gaza Strip,2007,SH_STA_STNT,,
2008,_T,Gaza Strip,2008,SH_STA_STNT,,
2014,_T,Gaza Strip,2014,SH_STA_STNT,,7.1
2015,_T,Gaza Strip,2015,SH_STA_STNT,,
2016,_T,Gaza Strip,2016,SH_STA_STNT,,
2019,_T,Gaza Strip,2019,SH_STA_STNT,,9.0
2000,_T,PS,2000,SH_STA_STNT,,7.5
2001,_T,PS,2001,SH_STA_STNT,,10.2
2002,_T,PS,2002,SH_STA_STNT,,7.4
2006,_T,PS,2006,SH_STA_STNT,,10.2
2007,_T,PS,2007,SH_STA_STNT,,10.2
2008,_T,PS,2008,SH_STA_STNT,,7.4
2014,_T,PS,2014,SH_STA_STNT,,7.4
2015,_T,PS,2015,SH_STA_STNT,,10.2
2016,_T,PS,2016,SH_STA_STNT,,7.4
2019,_T,PS,2019,SH_STA_STNT,,8.7
