Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,West Bank,N,2000,SH_STA_BRTC,PT,96.4
2010,West Bank,N,2010,SH_STA_BRTC,PT,98.6
2014,West Bank,N,2014,SH_STA_BRTC,PT,99.6
2019,West Bank,N,2019,SH_STA_BRTC,PT,99.4
2000,Gaza Strip,N,2000,SH_STA_BRTC,PT,98.9
2010,Gaza Strip,N,2010,SH_STA_BRTC,PT,99.7
2014,Gaza Strip,N,2014,SH_STA_BRTC,PT,99.5
2019,Gaza Strip,N,2019,SH_STA_BRTC,PT,100.0
2000,PS,N,2000,SH_STA_BRTC,PT,97.4
2010,PS,N,2010,SH_STA_BRTC,PT,99.0
2014,PS,N,2014,SH_STA_BRTC,PT,99.6
2019,PS,N,2019,SH_STA_BRTC,PT,99.7
