Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2015,VC_DSR_MTMP,BI,_T,_T,_T,_T,,2015,1.5
2016,VC_DSR_MTMP,BI,_T,_T,_T,_T,,2016,1.8
