Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2010,D42,BI,_T,_T,_T,_T,,0,2010,12.12
2012,D42,BI,_T,_T,_T,_T,,0,2012,9.19
2013,D42,BI,_T,_T,_T,_T,,0,2013,10.18
2018,D42,BI,_T,_T,_T,_T,,0,2018,10.18
