Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MOE MIH MoI PP Municipality,ប្រចាំឆ្នាំ,ជាតិ,១១.៦.៣ ភាគរយនៃសំណល់រឹងត្រូវបានគ្រប់គ្រងតាមគោលការណ៍បច្ចេកទេស,ប្រទេសកម្ពុជា,ភាគរយ,2020,50
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MOE MIH MoI PP Municipality,ប្រចាំឆ្នាំ,ជាតិ,១១.៦.៣ ភាគរយនៃសំណល់រឹងត្រូវបានគ្រប់គ្រងតាមគោលការណ៍បច្ចេកទេស,ប្រទេសកម្ពុជា,ភាគរយ,2020,50
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MOE MIH MoI PP Municipality,ប្រចាំឆ្នាំ,ជាតិ,១១.៦.៣ ភាគរយនៃសំណល់រឹងត្រូវបានគ្រប់គ្រងតាមគោលការណ៍បច្ចេកទេស,ប្រទេសកម្ពុជា,ភាគរយ,2020,50
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MOE MIH MoI PP Municipality,ប្រចាំឆ្នាំ,ជាតិ,១១.៦.៣ ភាគរយនៃសំណល់រឹងត្រូវបានគ្រប់គ្រងតាមគោលការណ៍បច្ចេកទេស,ប្រទេសកម្ពុជា,ភាគរយ,2020,50
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MOE MIH MoI PP Municipality,ប្រចាំឆ្នាំ,ជាតិ,១១.៦.៣ ភាគរយនៃសំណល់រឹងត្រូវបានគ្រប់គ្រងតាមគោលការណ៍បច្ចេកទេស,ប្រទេសកម្ពុជា,ភាគរយ,2020,55
2020,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MOE MIH MoI PP Municipality,ប្រចាំឆ្នាំ,ជាតិ,១១.៦.៣ ភាគរយនៃសំណល់រឹងត្រូវបានគ្រប់គ្រងតាមគោលការណ៍បច្ចេកទេស,ប្រទេសកម្ពុជា,ភាគរយ,2020,55
