Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2010,D107,BI,_T,_T,_T,_T,en USD,0,2010,7064361.0
2011,D107,BI,_T,_T,_T,_T,en USD,0,2011,9692826.0
2012,D107,BI,_T,_T,_T,_T,en USD,0,2012,3234742.0
2013,D107,BI,_T,_T,_T,_T,en USD,0,2013,2726301.0
2014,D107,BI,_T,_T,_T,_T,en USD,0,2014,270027.0
2015,D107,BI,_T,_T,_T,_T,en USD,0,2015,119421.0
2016,D107,BI,_T,_T,_T,_T,en USD,0,2016,34769.0
