Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2013,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງປະຊາກອນຕ່ໍາກວ່າເສັ້ນຄວາມທຸກຍາກສາກົນ [1.1.1],Lao People's Democratic Republic,ເປີເຊັນ,15.6
2018,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງປະຊາກອນຕ່ໍາກວ່າເສັ້ນຄວາມທຸກຍາກສາກົນ [1.1.1],Lao People's Democratic Republic,ເປີເຊັນ,8.6
