Year,Sex,TIME_DETAIL,Value
2016,Total,2016,60.6
2016,Male,2016,61.3
2016,Female,2016,59.9
2017,Total,2017,60.4
2017,Male,2017,61.0
2017,Female,2017,59.9
2018,Total,2018,62.2
2018,Male,2018,62.6
2018,Female,2018,61.7
