Year,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2012,2012,SG_STT_CAPTY,NUMBER,1248530.39
2013,2013,SG_STT_CAPTY,NUMBER,3763110.5
2014,2014,SG_STT_CAPTY,NUMBER,167509.73
2015,2015,SG_STT_CAPTY,NUMBER,496318.72
2016,2016,SG_STT_CAPTY,NUMBER,741055.73
