Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2015,West Bank,N,2015,SH_HAP_HBSAG,NUMBER,0.58
2016,West Bank,N,2016,SH_HAP_HBSAG,NUMBER,0.79
2017,West Bank,N,2017,SH_HAP_HBSAG,NUMBER,0.5
2018,West Bank,N,2018,SH_HAP_HBSAG,NUMBER,
2019,West Bank,N,2019,SH_HAP_HBSAG,NUMBER,0.59
2015,Gaza Strip,N,2015,SH_HAP_HBSAG,NUMBER,0.39
2016,Gaza Strip,N,2016,SH_HAP_HBSAG,NUMBER,0.05
2017,Gaza Strip,N,2017,SH_HAP_HBSAG,NUMBER,0.3
2018,Gaza Strip,N,2018,SH_HAP_HBSAG,NUMBER,0.02
2019,Gaza Strip,N,2019,SH_HAP_HBSAG,NUMBER,0.0
2015,PS,N,2015,SH_HAP_HBSAG,NUMBER,0.51
2016,PS,N,2016,SH_HAP_HBSAG,NUMBER,0.5
2017,PS,N,2017,SH_HAP_HBSAG,NUMBER,0.45
2018,PS,N,2018,SH_HAP_HBSAG,NUMBER,0.68
2019,PS,N,2019,SH_HAP_HBSAG,NUMBER,0.34
