Year,TIME_DETAIL,Value
2010,2010,42.8
2011,2011,40.3
2012,2012,44.6
2013,2013,49.1
2014,2014,51.2
2015,2015,48.6
2016,2016,47.4
2017,2017,50.0
2018,2018,56.3
2019,2019,57.9
