Year,TIME_DETAIL,SERIES,Value
2006,2006,EN_ATM_CO2,362
2007,2007,EN_ATM_CO2,336
2008,2008,EN_ATM_CO2,305
2009,2009,EN_ATM_CO2,326
2010,2010,EN_ATM_CO2,326
2011,2011,EN_ATM_CO2,286
2012,2012,EN_ATM_CO2,282
2013,2013,EN_ATM_CO2,294
2014,2014,EN_ATM_CO2,376
2015,2015,EN_ATM_CO2,355
2016,2016,EN_ATM_CO2,350
2017,2017,EN_ATM_CO2,349
