Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2014,SE_DEV_ONTRK,716,_T,Y0T4,_T,PT,0,2014,61.8
2019,SE_DEV_ONTRK,716,_T,Y0T4,_T,PT,0,2019,70.8
