Year,seriesdescription,geoarea,sex,age,urbanisation,unit,TIME_DETAIL,Value
2014,SH_STA_TRAF,716,_T,_T,_T,"per 100,000 population",2014,2042.0
2015,SH_STA_TRAF,716,_T,_T,_T,"per 100,000 population",2015,2368.0
2016,SH_STA_TRAF,716,_T,_T,_T,"per 100,000 population",2016,1584.0
2017,SH_STA_TRAF,716,_T,_T,_T,"per 100,000 population",2017,1793.0
