Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2011,SP_LGL_LNDAGSEC,ET,_T,_T,_T,_T,_T,PT,0,N,2011,73.1
2016,SP_LGL_LNDAGSEC,ET,_T,_T,_T,_T,_T,PT,0,N,2016,72.2
