Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2015,VC_VAW_MARR,716,F,Y_GE15,_T,PT,0,2015,45.0
2019,VC_VAW_MARR,716,F,Y_GE15,_T,PT,0,2019,9.4
