Year,seriesdescription,geoarea,sex,age,urbanisation,unit,scale,Value
2014,SL_EMP_PCAP,716,_T,_T,_T,Percent,1,5.1
2015,SL_EMP_PCAP,716,_T,_T,_T,Percent,1,5.02712202951238
2016,SL_EMP_PCAP,716,_T,_T,_T,Percent,1,2.77509859438108
2017,SL_EMP_PCAP,716,_T,_T,_T,Percent,1,3.81579182149032
