Year,seriesdescription,geoarea,sex,age,urbanisation,unit,TIME_DETAIL,Value
2019,VC_PRR_ROBB,716,F,_T,_T,Percent,2019,40.5
2019,VC_PRR_ROBB,716,M,_T,_T,Percent,2019,38.2
