Year,seriesdescription,geoarea,sex,age,urbanisation,unit,TIME_DETAIL,Value
2019,IT_MOB_OWN,716,F,_T,_T,Percent,2019,72.0
2019,IT_MOB_OWN,716,M,_T,_T,Percent,2019,73.0
