Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2014,NV_IND_MANF,716,_T,_T,_T,PT,0,2014,12.6
2015,NV_IND_MANF,716,_T,_T,_T,PT,0,2015,11.9
2016,NV_IND_MANF,716,_T,_T,_T,PT,0,2016,11.6
