Year,seriesdescription,geoarea,sex,age,urbanisation,unit,TIME_DETAIL,Value
2014,SH_SAN_DEFECT,716,_T,_T,_T,Percent,2014,62.0
2015,SH_SAN_DEFECT,716,_T,_T,_T,Percent,2015,37.0
