Year,seriesdescription,geoarea,sex,age,urbanisation,unit,scale,Value
2014,SH_STA_TRAF,716,_T,_T,_T,"per 100,000 population",1,2042.0
2015,SH_STA_TRAF,716,_T,_T,_T,"per 100,000 population",1,2368.0
2016,SH_STA_TRAF,716,_T,_T,_T,"per 100,000 population",1,1584.0
2017,SH_STA_TRAF,716,_T,_T,_T,"per 100,000 population",1,1793.0
