Year,seriesdescription,geoarea,sex,age,urbanisation,unit,scale,Value
2014,SG_URB_PLAN,716,_T,_T,_T,Percent,1,100.0
2015,SG_URB_PLAN,716,_T,_T,_T,Percent,1,100.0
2016,SG_URB_PLAN,716,_T,_T,_T,Percent,1,100.0
2017,SG_URB_PLAN,716,_T,_T,_T,Percent,1,100.0
2018,SG_URB_PLAN,716,_T,_T,_T,Percent,1,100.0
