From,To
indicador-disponível,objectivo
objectivo,meta
meta,indicador
indicador,sériedescrição
sériedescrição,província
província,sexo
sexo,idade
idade,área-de-residência
área-de-residência,nível-de-educação
nível-de-educação,ocupação
ocupação,deficiência
deficiência,composição-composta
composição-composta,quintil
quintil,unit
unit,scale
