Year,REF_AREA,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2000,West Bank,2000,NUMBER,ST_GDP_ZS,
2002,West Bank,2002,NUMBER,ST_GDP_ZS,
2007,West Bank,2007,NUMBER,ST_GDP_ZS,
2009,West Bank,2009,NUMBER,ST_GDP_ZS,2.6
2010,West Bank,2010,NUMBER,ST_GDP_ZS,
2011,West Bank,2011,NUMBER,ST_GDP_ZS,
2012,West Bank,2012,NUMBER,ST_GDP_ZS,
2013,West Bank,2013,NUMBER,ST_GDP_ZS,
2014,West Bank,2014,NUMBER,ST_GDP_ZS,
2015,West Bank,2015,NUMBER,ST_GDP_ZS,
2016,West Bank,2016,NUMBER,ST_GDP_ZS,
2017,West Bank,2017,NUMBER,ST_GDP_ZS,
2018,West Bank,2018,NUMBER,ST_GDP_ZS,
2000,Gaza Strip,2000,NUMBER,ST_GDP_ZS,
2002,Gaza Strip,2002,NUMBER,ST_GDP_ZS,
2007,Gaza Strip,2007,NUMBER,ST_GDP_ZS,
2009,Gaza Strip,2009,NUMBER,ST_GDP_ZS,0.64
2010,Gaza Strip,2010,NUMBER,ST_GDP_ZS,
2011,Gaza Strip,2011,NUMBER,ST_GDP_ZS,
2012,Gaza Strip,2012,NUMBER,ST_GDP_ZS,
2013,Gaza Strip,2013,NUMBER,ST_GDP_ZS,
2014,Gaza Strip,2014,NUMBER,ST_GDP_ZS,
2015,Gaza Strip,2015,NUMBER,ST_GDP_ZS,
2016,Gaza Strip,2016,NUMBER,ST_GDP_ZS,
2017,Gaza Strip,2017,NUMBER,ST_GDP_ZS,
2018,Gaza Strip,2018,NUMBER,ST_GDP_ZS,
2000,PS,2000,NUMBER,ST_GDP_ZS,1.1
2002,PS,2002,NUMBER,ST_GDP_ZS,0.3
2007,PS,2007,NUMBER,ST_GDP_ZS,3.5
2009,PS,2009,NUMBER,ST_GDP_ZS,2.2
2010,PS,2010,NUMBER,ST_GDP_ZS,2.5
2011,PS,2011,NUMBER,ST_GDP_ZS,1.9
2012,PS,2012,NUMBER,ST_GDP_ZS,2.7
2013,PS,2013,NUMBER,ST_GDP_ZS,2.1
2014,PS,2014,NUMBER,ST_GDP_ZS,2.6
2015,PS,2015,NUMBER,ST_GDP_ZS,1.7
2016,PS,2016,NUMBER,ST_GDP_ZS,2.2
2017,PS,2017,NUMBER,ST_GDP_ZS,2.6
2018,PS,2018,NUMBER,ST_GDP_ZS,2.5
