Value,Disaggregation combinations using this value,Number of indicators
CUR_LCU,71,3
Index,2,2
Number,8,2
PER_1000_LIVE_BIRTHS,2,2
PER_1000_POP,1,1
PER_1000_UNINFECTED_POP,3,1
PER_100000_LIVE_BIRTHS,1,1
PER_100000_POP,11,7
Percent,123,35
ratio,6,4
USD,1,1
