Value,Disaggregation combinations using this value,Number of indicators
CUR_LCU,72,3
Index,4,2
Number,10,2
PER_1000_LIVE_BIRTHS,2,2
PER_1000_POP,2,1
PER_1000_UNINFECTED_POP,3,1
PER_100000_LIVE_BIRTHS,1,1
PER_100000_POP,17,7
PT,166,35
ratio,7,4
USD,1,1
