Value,Disaggregation combinations using this value,Number of indicators
AG_LND_FRST,2,1
AG_PRD_ORTIND,2,1
BX_TRF_PWKR,2,1
CHG_WTR_ECOSYS,2,1
DC_TOF_INFRAL,1,1
DETH_MISN_DIST,2,1
DT_TDS_DECT,2,1
EG_ACS_ELEC,3,1
EG_CFT_COOK,3,1
EG_CFT_LIGHT,3,1
EG_TBA_H2CO,1,1
ER_H20_LCMGM,2,1
ER_H2O_IWRMD,1,1
FB_ATM_TOTL,2,1
FB_CBK_BRCH,2,1
FC_ACC_SSID,2,1
FORT_MGT_AGBS,2,1
FORT_MGT_FMC,2,1
FORT_MGT_LEPA,2,1
FORT_MGT_LTFMP,2,1
FORT_MGT_NCR,2,1
GEN_PAR_INDX,2,1
GF_FRN_FDIODASS,2,1
GOV_EXP_DEF,2,1
GOV_EXP_EAFF,2,1
GOV_EXP_EDU,2,1
GOV_EXP_ENVPROT,2,1
GOV_EXP_GPS,2,1
GOV_EXP_HCA,2,1
GOV_EXP_HEALTH,2,1
GOV_EXP_POS,2,1
GOV_EXP_RCR,2,1
GOV_EXP_SOCPROT,2,1
GOV_EXP_TOTAL,2,1
GOV_REV_SORC,2,1
GR_G14_XDC,2,1
GRZ_EXP_EDU,4,1
GRZ_EXP_HEALTH,4,1
GRZ_EXP_SOCPROT,4,1
IS_RDP_FRGVOL,1,1
IS_RDP_PFVOL,3,1
IT_MOB_2GNTWK,2,1
IT_USE_ii99,2,1
MORT_CARD,2,1
NV_IND_MANFPC,2,1
NY_GDP_PCAP,2,1
POP_GRZ_CASHTRANS,3,1
POP_GRZ_FSPAC,3,1
POP_GRZ_HGSF,3,1
POP_GRZ_PWAS,3,1
POP_GRZ_WOMEMP,3,1
POP_GRZ_YOTHEMP,3,1
POP_SECR_LAND,6,1
PROP_YOUTH_NEET,3,1
SE_ACS_CMPTR,2,1
SE_ACS_ELECT,2,1
SE_ACS_H2O,2,1
SE_ACS_INTNT,1,1
SE_PRE_PARTN,3,1
SE_TRA_GRDL,6,1
SG_GEN_LOCG,1,1
SG_GEN_PARLN,1,1
SG_LGL_GENEQLFP,5,1
SG_LGL_LNDWMN,5,1
SG_REG_BRTH,1,1
SH_ACS_VACN,1,1
SH_DYN_MORT,1,1
SH_DYN_NMRT,1,1
SH_FPL_MTMM,1,1
SH_H2O_SAFE,1,1
SH_HIV_INCD,3,1
SH_MED_DEN,6,1
SH_STA_BRTC,1,1
SH_STA_MALR,2,1
SH_STA_MORT,1,1
SH_STA_SCIDE,2,1
SH_STA_STNTN,1,1
SH_STA_TRAF,2,1
SH_STA_WAST,1,1
SH_TBS_INCD,1,1
SI_POV_DAY1,2,1
SI_POV_EMP1,2,1
SI_POV_NMPI,3,1
SL_EMP_EARN,69,1
SL_EMP_GTOTL,1,1
SL_EMP_PCAP,1,1
SL_ISV_IFRM,3,1
SL_TLF_MANF,1,1
SL_TLF_UEM,39,1
SL_TLF_UEMDIS,3,1
VC_HTF_DETV,1,1
VC_IHR_PSRC,1,1
VC_PRS_UNSNT,2,1
VC_VAW_PHYPYV,1,1
