Year,seriesdescription,geoarea,sex,age,location,disability,unit,TIME_DETAIL,Value
2018,SP_LGL_LNDAGSEC,UG,F,_T,_T,_T,%,2018,32.0
2018,SP_LGL_LNDAGSEC,UG,M,_T,_T,_T,%,2018,49.0
2018,SP_LGL_LNDAGSEC,UG,_T,_T,_T,_T,%,2018,40.0
