Year,SERIES,REF_AREA,SEX,AGE,location,disability,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2013,NY_GDP_PCAP,UG,_T,_T,_T,_T,PT,0,N,2013,5.2
2016,NY_GDP_PCAP,UG,_T,_T,_T,_T,PT,0,N,2016,4.8
2017,NY_GDP_PCAP,UG,_T,_T,_T,_T,PT,0,N,2017,3.9
