Year,SEX,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2016,_T,2016,SE_DEV_ONTRK,,31.61
2016,M,2016,SE_DEV_ONTRK,,32.11
2016,F,2016,SE_DEV_ONTRK,,31.08
2017,_T,2017,SE_DEV_ONTRK,,33.98
2017,M,2017,SE_DEV_ONTRK,,34.44
2017,F,2017,SE_DEV_ONTRK,,33.51
2018,_T,2018,SE_DEV_ONTRK,,36.52
2018,M,2018,SE_DEV_ONTRK,,37.08
2018,F,2018,SE_DEV_ONTRK,,35.96
