Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2010,2010,NUMBER,SI_POV_DAY1,0.1
2008,2008,NUMBER,SI_POV_DAY1,0.1
2006,2006,NUMBER,SI_POV_DAY1,0.3
2002,2002,NUMBER,SI_POV_DAY1,1.1
1997,1997,NUMBER,SI_POV_DAY1,1.6
