Year,seriesdescription,geoarea,sex,age,urbanisation,unit,scale,Value
2017,SI_POV_DAY1,716,F,_T,_T,Percent,1,29.3
2017,SI_POV_DAY1,716,M,_T,_T,Percent,1,29.4
2017,SI_POV_DAY1,716,_T,_T,_T,Percent,1,29.4
