Year,Sex,TIME_DETAIL,Value
2015,Total,2015,99.2
2015,Male,2015,99.1
2015,Female,2015,99.35
2016,Total,2016,99.15
2016,Male,2016,99.1
2016,Female,2016,99.26
2017,Total,2017,98.55
2017,Male,2017,98.49
2017,Female,2017,98.62
2018,Total,2018,98.3
2018,Male,2018,98.0
2018,Female,2018,98.6
