Year,SEX,REF_AREA,TIME_DETAIL,SERIES,Value
2000,M,West Bank,2000,SH_DYN_IMRT,
2004,M,West Bank,2004,SH_DYN_IMRT,
2006,M,West Bank,2006,SH_DYN_IMRT,
2010,M,West Bank,2010,SH_DYN_IMRT,
2014,M,West Bank,2014,SH_DYN_IMRT,
2019,M,West Bank,2019,SH_DYN_IMRT,
2000,M,Gaza Strip,2000,SH_DYN_IMRT,
2004,M,Gaza Strip,2004,SH_DYN_IMRT,
2006,M,Gaza Strip,2006,SH_DYN_IMRT,
2010,M,Gaza Strip,2010,SH_DYN_IMRT,
2014,M,Gaza Strip,2014,SH_DYN_IMRT,
2019,M,Gaza Strip,2019,SH_DYN_IMRT,
2000,M,PS,2000,SH_DYN_IMRT,29.0
2004,M,PS,2004,SH_DYN_IMRT,32.0
2006,M,PS,2006,SH_DYN_IMRT,
2010,M,PS,2010,SH_DYN_IMRT,27.0
2014,M,PS,2014,SH_DYN_IMRT,23.0
2019,M,PS,2019,SH_DYN_IMRT,16.3
2000,F,West Bank,2000,SH_DYN_IMRT,
2004,F,West Bank,2004,SH_DYN_IMRT,
2006,F,West Bank,2006,SH_DYN_IMRT,
2010,F,West Bank,2010,SH_DYN_IMRT,
2014,F,West Bank,2014,SH_DYN_IMRT,
2019,F,West Bank,2019,SH_DYN_IMRT,
2000,F,Gaza Strip,2000,SH_DYN_IMRT,
2004,F,Gaza Strip,2004,SH_DYN_IMRT,
2006,F,Gaza Strip,2006,SH_DYN_IMRT,
2010,F,Gaza Strip,2010,SH_DYN_IMRT,
2014,F,Gaza Strip,2014,SH_DYN_IMRT,
2019,F,Gaza Strip,2019,SH_DYN_IMRT,
2000,F,PS,2000,SH_DYN_IMRT,28.0
2004,F,PS,2004,SH_DYN_IMRT,25.0
2006,F,PS,2006,SH_DYN_IMRT,
2010,F,PS,2010,SH_DYN_IMRT,20.0
2014,F,PS,2014,SH_DYN_IMRT,21.0
2019,F,PS,2019,SH_DYN_IMRT,12.0
2000,_T,West Bank,2000,SH_DYN_IMRT,27.0
2004,_T,West Bank,2004,SH_DYN_IMRT,23.7
2006,_T,West Bank,2006,SH_DYN_IMRT,29.5
2010,_T,West Bank,2010,SH_DYN_IMRT,21.0
2014,_T,West Bank,2014,SH_DYN_IMRT,20.0
2019,_T,West Bank,2019,SH_DYN_IMRT,14.7
2000,_T,Gaza Strip,2000,SH_DYN_IMRT,31.0
2004,_T,Gaza Strip,2004,SH_DYN_IMRT,34.8
2006,_T,Gaza Strip,2006,SH_DYN_IMRT,34.9
2010,_T,Gaza Strip,2010,SH_DYN_IMRT,26.8
2014,_T,Gaza Strip,2014,SH_DYN_IMRT,24.0
2019,_T,Gaza Strip,2019,SH_DYN_IMRT,13.7
2000,_T,PS,2000,SH_DYN_IMRT,28.0
2004,_T,PS,2004,SH_DYN_IMRT,28.3
2006,_T,PS,2006,SH_DYN_IMRT,31.6
2010,_T,PS,2010,SH_DYN_IMRT,23.4
2014,_T,PS,2014,SH_DYN_IMRT,22.0
2019,_T,PS,2019,SH_DYN_IMRT,14.2
