Year,URBANISATION,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2001,_T,West Bank,N,2001,EG_ACS_ELEC,PT,99.7
2003,_T,West Bank,N,2003,EG_ACS_ELEC,PT,99.6
2004,_T,West Bank,N,2004,EG_ACS_ELEC,PT,99.4
2005,_T,West Bank,N,2005,EG_ACS_ELEC,PT,99.5
2006,_T,West Bank,N,2006,EG_ACS_ELEC,PT,99.3
2007,_T,West Bank,N,2007,EG_ACS_ELEC,PT,98.4
2008,_T,West Bank,N,2008,EG_ACS_ELEC,PT,99.7
2009,_T,West Bank,N,2009,EG_ACS_ELEC,PT,99.9
2010,_T,West Bank,N,2010,EG_ACS_ELEC,PT,99.7
2011,_T,West Bank,N,2011,EG_ACS_ELEC,PT,99.8
2012,_T,West Bank,N,2012,EG_ACS_ELEC,PT,99.8
2013,_T,West Bank,N,2013,EG_ACS_ELEC,PT,99.9
2015,_T,West Bank,N,2015,EG_ACS_ELEC,PT,99.9
2017,_T,West Bank,N,2017,EG_ACS_ELEC,PT,99.6
2001,_T,Gaza Strip,N,2001,EG_ACS_ELEC,PT,97.8
2003,_T,Gaza Strip,N,2003,EG_ACS_ELEC,PT,98.9
2004,_T,Gaza Strip,N,2004,EG_ACS_ELEC,PT,99.5
2005,_T,Gaza Strip,N,2005,EG_ACS_ELEC,PT,99.6
2006,_T,Gaza Strip,N,2006,EG_ACS_ELEC,PT,99.8
2007,_T,Gaza Strip,N,2007,EG_ACS_ELEC,PT,99.4
2008,_T,Gaza Strip,N,2008,EG_ACS_ELEC,PT,99.9
2009,_T,Gaza Strip,N,2009,EG_ACS_ELEC,PT,99.9
2010,_T,Gaza Strip,N,2010,EG_ACS_ELEC,PT,100.0
2011,_T,Gaza Strip,N,2011,EG_ACS_ELEC,PT,100.0
2012,_T,Gaza Strip,N,2012,EG_ACS_ELEC,PT,99.8
2013,_T,Gaza Strip,N,2013,EG_ACS_ELEC,PT,99.8
2015,_T,Gaza Strip,N,2015,EG_ACS_ELEC,PT,99.8
2017,_T,Gaza Strip,N,2017,EG_ACS_ELEC,PT,99.9
2001,_T,PS,N,2001,EG_ACS_ELEC,PT,99.1
2003,_T,PS,N,2003,EG_ACS_ELEC,PT,99.4
2004,_T,PS,N,2004,EG_ACS_ELEC,PT,99.5
2005,_T,PS,N,2005,EG_ACS_ELEC,PT,99.6
2006,_T,PS,N,2006,EG_ACS_ELEC,PT,99.5
2007,_T,PS,N,2007,EG_ACS_ELEC,PT,98.8
2008,_T,PS,N,2008,EG_ACS_ELEC,PT,99.8
2009,_T,PS,N,2009,EG_ACS_ELEC,PT,99.9
2010,_T,PS,N,2010,EG_ACS_ELEC,PT,99.8
2011,_T,PS,N,2011,EG_ACS_ELEC,PT,99.9
2012,_T,PS,N,2012,EG_ACS_ELEC,PT,99.8
2013,_T,PS,N,2013,EG_ACS_ELEC,PT,99.9
2015,_T,PS,N,2015,EG_ACS_ELEC,PT,99.9
2017,_T,PS,N,2017,EG_ACS_ELEC,PT,99.7
2001,U,West Bank,N,2001,EG_ACS_ELEC,PT,
2003,U,West Bank,N,2003,EG_ACS_ELEC,PT,
2004,U,West Bank,N,2004,EG_ACS_ELEC,PT,
2005,U,West Bank,N,2005,EG_ACS_ELEC,PT,
2006,U,West Bank,N,2006,EG_ACS_ELEC,PT,
2007,U,West Bank,N,2007,EG_ACS_ELEC,PT,
2008,U,West Bank,N,2008,EG_ACS_ELEC,PT,
2009,U,West Bank,N,2009,EG_ACS_ELEC,PT,
2010,U,West Bank,N,2010,EG_ACS_ELEC,PT,
2011,U,West Bank,N,2011,EG_ACS_ELEC,PT,
2012,U,West Bank,N,2012,EG_ACS_ELEC,PT,
2013,U,West Bank,N,2013,EG_ACS_ELEC,PT,
2015,U,West Bank,N,2015,EG_ACS_ELEC,PT,
2017,U,West Bank,N,2017,EG_ACS_ELEC,PT,
2001,U,Gaza Strip,N,2001,EG_ACS_ELEC,PT,
2003,U,Gaza Strip,N,2003,EG_ACS_ELEC,PT,
2004,U,Gaza Strip,N,2004,EG_ACS_ELEC,PT,
2005,U,Gaza Strip,N,2005,EG_ACS_ELEC,PT,
2006,U,Gaza Strip,N,2006,EG_ACS_ELEC,PT,
2007,U,Gaza Strip,N,2007,EG_ACS_ELEC,PT,
2008,U,Gaza Strip,N,2008,EG_ACS_ELEC,PT,
2009,U,Gaza Strip,N,2009,EG_ACS_ELEC,PT,
2010,U,Gaza Strip,N,2010,EG_ACS_ELEC,PT,
2011,U,Gaza Strip,N,2011,EG_ACS_ELEC,PT,
2012,U,Gaza Strip,N,2012,EG_ACS_ELEC,PT,
2013,U,Gaza Strip,N,2013,EG_ACS_ELEC,PT,
2015,U,Gaza Strip,N,2015,EG_ACS_ELEC,PT,
2017,U,Gaza Strip,N,2017,EG_ACS_ELEC,PT,
2001,U,PS,N,2001,EG_ACS_ELEC,PT,88.1
2003,U,PS,N,2003,EG_ACS_ELEC,PT,99.3
