Year,SERIES,REF_AREA,SEX,AGE,location,EDUCATION_LEV,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2016,NY_GDP_PCAP,ZM,_T,_T,_T,_T,_T,_T,_T,PT,0,N,2016,3.8
2017,NY_GDP_PCAP,ZM,_T,_T,_T,_T,_T,_T,_T,PT,0,N,2017,3.5
