Year,SEX,REF_AREA,TIME_DETAIL,SERIES,Value
2000,M,West Bank,2000,SH_PRV_SMOK,
2004,M,West Bank,2004,SH_PRV_SMOK,
2006,M,West Bank,2006,SH_PRV_SMOK,
2010,M,West Bank,2010,SH_PRV_SMOK,
2019,M,West Bank,2019,SH_PRV_SMOK,
2000,M,Gaza Strip,2000,SH_PRV_SMOK,
2004,M,Gaza Strip,2004,SH_PRV_SMOK,
2006,M,Gaza Strip,2006,SH_PRV_SMOK,
2010,M,Gaza Strip,2010,SH_PRV_SMOK,
2019,M,Gaza Strip,2019,SH_PRV_SMOK,
2000,M,PS,2000,SH_PRV_SMOK,46.2
2004,M,PS,2004,SH_PRV_SMOK,41.8
2006,M,PS,2006,SH_PRV_SMOK,42.2
2010,M,PS,2010,SH_PRV_SMOK,36.5
2019,M,PS,2019,SH_PRV_SMOK,51.2
2000,F,West Bank,2000,SH_PRV_SMOK,
2004,F,West Bank,2004,SH_PRV_SMOK,
2006,F,West Bank,2006,SH_PRV_SMOK,
2010,F,West Bank,2010,SH_PRV_SMOK,
2019,F,West Bank,2019,SH_PRV_SMOK,
2000,F,Gaza Strip,2000,SH_PRV_SMOK,
2004,F,Gaza Strip,2004,SH_PRV_SMOK,
2006,F,Gaza Strip,2006,SH_PRV_SMOK,
2010,F,Gaza Strip,2010,SH_PRV_SMOK,
2019,F,Gaza Strip,2019,SH_PRV_SMOK,
2000,F,PS,2000,SH_PRV_SMOK,3.5
2004,F,PS,2004,SH_PRV_SMOK,2.4
2006,F,PS,2006,SH_PRV_SMOK,2.4
2010,F,PS,2010,SH_PRV_SMOK,1.9
2019,F,PS,2019,SH_PRV_SMOK,7.3
2000,_T,West Bank,2000,SH_PRV_SMOK,26.8
2004,_T,West Bank,2004,SH_PRV_SMOK,24.8
2006,_T,West Bank,2006,SH_PRV_SMOK,25.4
2010,_T,West Bank,2010,SH_PRV_SMOK,23.7
2019,_T,West Bank,2019,SH_PRV_SMOK,36.2
2000,_T,Gaza Strip,2000,SH_PRV_SMOK,21.3
2004,_T,Gaza Strip,2004,SH_PRV_SMOK,17.5
2006,_T,Gaza Strip,2006,SH_PRV_SMOK,17.2
2010,_T,Gaza Strip,2010,SH_PRV_SMOK,12.1
2019,_T,Gaza Strip,2019,SH_PRV_SMOK,18.3
2000,_T,PS,2000,SH_PRV_SMOK,24.9
2004,_T,PS,2004,SH_PRV_SMOK,22.3
2006,_T,PS,2006,SH_PRV_SMOK,22.5
2010,_T,PS,2010,SH_PRV_SMOK,19.4
2019,_T,PS,2019,SH_PRV_SMOK,29.5
