Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),ប្រទេសកម្ពុជា,តោន,2020,16908.0
2006,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),ប្រទេសកម្ពុជា,តោន,2020,22676.0
2007,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),ប្រទេសកម្ពុជា,តោន,2020,26033.0
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),ប្រទេសកម្ពុជា,តោន,2020,21985.0
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),ប្រទេសកម្ពុជា,តោន,2020,15119.0
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),ប្រទេសកម្ពុជា,តោន,2020,17678.0
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),ប្រទេសកម្ពុជា,តោន,2020,20083.0
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),ប្រទេសកម្ពុជា,តោន,2020,27811.0
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),ប្រទេសកម្ពុជា,តោន,2020,31612.0
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),ប្រទេសកម្ពុជា,តោន,2020,32666.0
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),ប្រទេសកម្ពុជា,តោន,2020,36898.0
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),ប្រទេសកម្ពុជា,តោន,2020,46308.0
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),ប្រទេសកម្ពុជា,តោន,2020,53856.0
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),ប្រទេសកម្ពុជា,តោន,2020,62635.0
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),ប្រទេសកម្ពុជា,តោន,2020,72844.0
2020,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),ប្រទេសកម្ពុជា,តោន,2020,84718.0
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),ប្រទេសកម្ពុជា,តោន,2020,65.0
2006,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),ប្រទេសកម្ពុជា,តោន,2020,91.0
2007,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),ប្រទេសកម្ពុជា,តោន,2020,398.0
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),ប្រទេសកម្ពុជា,តោន,2020,124.0
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),ប្រទេសកម្ពុជា,តោន,2020,75.0
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),ប្រទេសកម្ពុជា,តោន,2020,0.21
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),ប្រទេសកម្ពុជា,តោន,2020,124.0
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),ប្រទេសកម្ពុជា,តោន,2020,5.0
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),ប្រទេសកម្ពុជា,តោន,2020,62.0
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),ប្រទេសកម្ពុជា,តោន,2020,183.0
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),ប្រទេសកម្ពុជា,តោន,2020,252.0
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),ប្រទេសកម្ពុជា,តោន,2020,153.0
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),ប្រទេសកម្ពុជា,តោន,2020,132.0
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),ប្រទេសកម្ពុជា,តោន,2020,114.0
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),ប្រទេសកម្ពុជា,តោន,2020,99.0
2020,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,SSCA,ប្រចាំឆ្នាំ,ជាតិ,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),ប្រទេសកម្ពុជា,តោន,2020,86.0
