Year,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2018,2018,SH_H2O_SAFE,,0.0
2017,2017,SH_H2O_SAFE,,93.82
2016,2016,SH_H2O_SAFE,,93.84
2015,2015,SH_H2O_SAFE,,93.87
2014,2014,SH_H2O_SAFE,,93.9
