Year,SEX,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2017,_T,2017,NUMBER,,4.2
2017,M,2017,NUMBER,,4.9
2017,F,2017,NUMBER,,3.6
2018,_T,2018,NUMBER,,7.2
2018,M,2018,NUMBER,,4.3
2018,F,2018,NUMBER,,2.2
