Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2014,SL_TLF_NEET,716,_T,Y15T24,_T,PT,0,2014,27.4
2017,SL_TLF_NEET,716,_T,Y15T24,_T,PT,0,2017,22.1
