Year,seriesdescription,geoarea,sex,age,urbanisation,unit,scale,Value
2014,BX_TRF_PWKR,716,_T,_T,_T,Percent,1,6.0
2015,BX_TRF_PWKR,716,_T,_T,_T,Percent,1,6.3
2016,BX_TRF_PWKR,716,_T,_T,_T,Percent,1,5.4
