Year,SEX,REF_AREA,AGE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2014,_T,PS,_T,2014,SL_TLF_CHLDEC,,3.6
2015,_T,PS,_T,2015,SL_TLF_CHLDEC,,4.5
2016,_T,PS,_T,2016,SL_TLF_CHLDEC,,3.9
2017,_T,PS,_T,2017,SL_TLF_CHLDEC,,3.4
2018,_T,PS,_T,2018,SL_TLF_CHLDEC,,
2000,_T,PS,Y10T14,2000,SL_TLF_CHLDEC,,1.7
2001,_T,PS,Y10T14,2001,SL_TLF_CHLDEC,,0.5
2002,_T,PS,Y10T14,2002,SL_TLF_CHLDEC,,0.5
2003,_T,PS,Y10T14,2003,SL_TLF_CHLDEC,,1.2
2004,_T,PS,Y10T14,2004,SL_TLF_CHLDEC,,1.0
2005,_T,PS,Y10T14,2005,SL_TLF_CHLDEC,,1.3
2006,_T,PS,Y10T14,2006,SL_TLF_CHLDEC,,2.9
2007,_T,PS,Y10T14,2007,SL_TLF_CHLDEC,,3.1
2008,_T,PS,Y10T14,2008,SL_TLF_CHLDEC,,2.3
2009,_T,PS,Y10T14,2009,SL_TLF_CHLDEC,,2.1
2010,_T,PS,Y10T14,2010,SL_TLF_CHLDEC,,2.3
2011,_T,PS,Y10T14,2011,SL_TLF_CHLDEC,,2.2
2012,_T,PS,Y10T14,2012,SL_TLF_CHLDEC,,2.1
2013,_T,PS,Y10T14,2013,SL_TLF_CHLDEC,,1.5
2014,_T,PS,Y10T14,2014,SL_TLF_CHLDEC,,1.6
2015,_T,PS,Y10T14,2015,SL_TLF_CHLDEC,,2.0
2016,_T,PS,Y10T14,2016,SL_TLF_CHLDEC,,1.7
2017,_T,PS,Y10T14,2017,SL_TLF_CHLDEC,,1.2
2018,_T,PS,Y10T14,2018,SL_TLF_CHLDEC,,0.9
2000,_T,PS,Y10T17,2000,SL_TLF_CHLDEC,,4.3
2001,_T,PS,Y10T17,2001,SL_TLF_CHLDEC,,2.2
2002,_T,PS,Y10T17,2002,SL_TLF_CHLDEC,,1.6
2003,_T,PS,Y10T17,2003,SL_TLF_CHLDEC,,2.7
2004,_T,PS,Y10T17,2004,SL_TLF_CHLDEC,,2.3
2005,_T,PS,Y10T17,2005,SL_TLF_CHLDEC,,2.9
2006,_T,PS,Y10T17,2006,SL_TLF_CHLDEC,,4.4
2007,_T,PS,Y10T17,2007,SL_TLF_CHLDEC,,4.6
2008,_T,PS,Y10T17,2008,SL_TLF_CHLDEC,,3.7
2009,_T,PS,Y10T17,2009,SL_TLF_CHLDEC,,3.6
2010,_T,PS,Y10T17,2010,SL_TLF_CHLDEC,,3.6
2011,_T,PS,Y10T17,2011,SL_TLF_CHLDEC,,4.1
2012,_T,PS,Y10T17,2012,SL_TLF_CHLDEC,,4.0
2013,_T,PS,Y10T17,2013,SL_TLF_CHLDEC,,3.4
2014,_T,PS,Y10T17,2014,SL_TLF_CHLDEC,,3.6
2015,_T,PS,Y10T17,2015,SL_TLF_CHLDEC,,4.5
2016,_T,PS,Y10T17,2016,SL_TLF_CHLDEC,,3.9
2017,_T,PS,Y10T17,2017,SL_TLF_CHLDEC,,3.4
2018,_T,PS,Y10T17,2018,SL_TLF_CHLDEC,,2.9
2000,_T,PS,Y15T17,2000,SL_TLF_CHLDEC,,9.9
2001,_T,PS,Y15T17,2001,SL_TLF_CHLDEC,,5.7
2002,_T,PS,Y15T17,2002,SL_TLF_CHLDEC,,3.9
2003,_T,PS,Y15T17,2003,SL_TLF_CHLDEC,,5.6
2004,_T,PS,Y15T17,2004,SL_TLF_CHLDEC,,4.7
2005,_T,PS,Y15T17,2005,SL_TLF_CHLDEC,,5.7
2006,_T,PS,Y15T17,2006,SL_TLF_CHLDEC,,7.3
2007,_T,PS,Y15T17,2007,SL_TLF_CHLDEC,,7.2
2008,_T,PS,Y15T17,2008,SL_TLF_CHLDEC,,6.1
2009,_T,PS,Y15T17,2009,SL_TLF_CHLDEC,,6.4
2010,_T,PS,Y15T17,2010,SL_TLF_CHLDEC,,6.1
2011,_T,PS,Y15T17,2011,SL_TLF_CHLDEC,,7.5
2012,_T,PS,Y15T17,2012,SL_TLF_CHLDEC,,7.7
2013,_T,PS,Y15T17,2013,SL_TLF_CHLDEC,,7.0
2014,_T,PS,Y15T17,2014,SL_TLF_CHLDEC,,7.5
2015,_T,PS,Y15T17,2015,SL_TLF_CHLDEC,,9.0
2016,_T,PS,Y15T17,2016,SL_TLF_CHLDEC,,7.8
2017,_T,PS,Y15T17,2017,SL_TLF_CHLDEC,,7.2
2018,_T,PS,Y15T17,2018,SL_TLF_CHLDEC,,6.6
