Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2015,2015,NUMBER,SG_NHR_IMPL,1
2016,2016,NUMBER,SG_NHR_IMPL,1
2017,2017,NUMBER,SG_NHR_IMPL,1
2018,2018,NUMBER,SG_NHR_IMPL,1
2019,2019,NUMBER,SG_NHR_IMPL,1
