Year,seriesdescription,geoarea,sex,age,location,disability,unit,scale,Value
2013,NY_GDP_PCAP,UG,_T,_T,_T,_T,%,1,5.2
2016,NY_GDP_PCAP,UG,_T,_T,_T,_T,%,1,4.8
