Year,SERIES,REF_AREA,SEX,AGE,location,EDUCATION_LEV,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2017,SG_GEN_PARLN,ZM,_T,_T,_T,_T,_T,_T,_T,ratio,0,2017,18.0
2017,SG_GEN_LOCG,ZM,_T,_T,_T,_T,_T,_T,_T,ratio,0,2017,10.0
