Year,seriesdescription,geoarea,sex,age,location,disability,unit,TIME_DETAIL,Value
2013,NY_GDP_PCAP,UG,_T,_T,_T,_T,%,2013,5.2
2016,NY_GDP_PCAP,UG,_T,_T,_T,_T,%,2016,4.8
