Year,Education Sector,المرحلة التعليمية,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2017,Public Sector,Pre-primary education,2017,,NUMBER,100
2017,Public Sector,Primary education,2017,,NUMBER,100
2017,Public Sector,Lower secondary education,2017,,NUMBER,100
2017,Public Sector,Secondary education,2017,,NUMBER,100
2017,Private Sector,Pre-primary education,2017,,NUMBER,70
2017,Private Sector,Primary education,2017,,NUMBER,70
2017,Private Sector,Lower secondary education,2017,,NUMBER,70
2017,Private Sector,Secondary education,2017,,NUMBER,70
2018,Public Sector,Pre-primary education,2018,,NUMBER,100
2018,Public Sector,Primary education,2018,,NUMBER,100
2018,Public Sector,Lower secondary education,2018,,NUMBER,100
2018,Public Sector,Secondary education,2018,,NUMBER,100
2018,Private Sector,Pre-primary education,2018,,NUMBER,70
2018,Private Sector,Primary education,2018,,NUMBER,70
2018,Private Sector,Lower secondary education,2018,,NUMBER,70
2018,Private Sector,Secondary education,2018,,NUMBER,70
