Year,SEX,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2016,_T,2016,SE_PRE_PARTN,,60.6
2016,M,2016,SE_PRE_PARTN,,61.3
2016,F,2016,SE_PRE_PARTN,,59.9
2017,_T,2017,SE_PRE_PARTN,,60.4
2017,M,2017,SE_PRE_PARTN,,61.0
2017,F,2017,SE_PRE_PARTN,,59.9
2018,_T,2018,SE_PRE_PARTN,,62.2
2018,M,2018,SE_PRE_PARTN,,62.6
2018,F,2018,SE_PRE_PARTN,,61.7
