Year,SEX,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2015,_T,2015,NUMBER,SE_ADT_FUNS,6.4
2015,M,2015,NUMBER,SE_ADT_FUNS,3.4
2015,F,2015,NUMBER,SE_ADT_FUNS,9.5
2016,_T,2016,NUMBER,SE_ADT_FUNS,6.8
2016,M,2016,NUMBER,SE_ADT_FUNS,3.5
2016,F,2016,NUMBER,SE_ADT_FUNS,10.0
2017,_T,2017,NUMBER,SE_ADT_FUNS,5.2
2017,M,2017,NUMBER,SE_ADT_FUNS,2.9
2017,F,2017,NUMBER,SE_ADT_FUNS,7.5
2018,_T,2018,NUMBER,SE_ADT_FUNS,5.1
2018,M,2018,NUMBER,SE_ADT_FUNS,3.1
2018,F,2018,NUMBER,SE_ADT_FUNS,7.2
