Year,Indicator,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2012,Proportion of children,2012,NUMBER,VC_VAW_PHYPYV,90.2
2017,Proportion of children,2017-18,NUMBER,VC_VAW_PHYPYV,81.3
