Year,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2002,2002,GB_XPD_RSDV,,0.34
2008,2008,GB_XPD_RSDV,,0.43
2016,2016,GB_XPD_RSDV,,0.33
