Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2012,2012,NUMBER,SG_STT_CAPTY,1248530.39
2013,2013,NUMBER,SG_STT_CAPTY,3763110.5
2014,2014,NUMBER,SG_STT_CAPTY,167509.73
2015,2015,NUMBER,SG_STT_CAPTY,496318.72
2016,2016,NUMBER,SG_STT_CAPTY,741055.73
