Year,TIME_DETAIL,SERIES,Value
2014,2014,GR_G14_GDP,28.57
2015,2015,GR_G14_GDP,25.51
2016,2016,GR_G14_GDP,25.76
2017,2017,GR_G14_GDP,26.1
