Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2014,2014,NUMBER,IT_USE_II99,46.2
2015,2015,NUMBER,IT_USE_II99,60.11
2016,2016,NUMBER,IT_USE_II99,62.3
2017,2017,NUMBER,IT_USE_II99,66.79
