Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2014,2014,NUMBER,DC_FTA_TOTAL,532.13
2015,2015,NUMBER,DC_FTA_TOTAL,401.65
2016,2016,NUMBER,DC_FTA_TOTAL,761.42
2017,2017,NUMBER,DC_FTA_TOTAL,901.11
